menu.nr305_1_highest_peak.23;Közlöd a valós adatokat.
say.nr305_1_highest_peak.54;A királynô hangszíne világossá tette, hogy a döntése megmásíthatatlan. Gábor elengedte a kérdést, és a csapat elkezdte a levonulást a hegyrôl.
say.nr305_1_highest_peak.55;Mindkét klán törpjei visszafojtott lélegzettel várták az expedíció visszatértét és a jelentést. Alig hogy Meve kinyilatkoztatta az eredményt, a Dahlbergek máris söröhordókat gurítottak a térre, és ünnepelni kezdtek. A Hoogok, természetesen, csalódottak voltak, de elfogadták a Meve által közölt eredményt. Végtére is, megbíztak benne.
say.nr305_1_highest_peak.57;– mondta a királynô némi gondolkodás után, –
say.nr305_1_highest_peak.59;"ezért, ha tévednénk egy keveset a mérésekkel kapcsolatban, abból nagy baj nem lehet... Viszont az abból származó elônyre szükségünk van."
say.nr305_1_highest_peak.61;Gábor az egyetértése jeleként csak bólintott. A királynô kiadta a vonatkozó parancsokat, majd a menet élére ment, és levonultak a hegyrôl.
say.nr305_1_highest_peak.62;Mindkét klán törpjei visszafojtott lélegzettel várták az expedíció visszatértét és a jelentést. Alig hogy Meve kinyilatkoztatta volna az eredményt, a Hoogok máris söröshordókat gurítottak a térre, és ünnepelni kezdtek. A Dahlbergek, természetesen, csalódottak voltak, de elfogadták a Meve által közölt eredményt. Végtére is, megbíztak benne.
say.nr305_1_highest_peak.65;Arra számítván, hogy szörnyek hada özönlik a törpökre, a királynô vágtára fogta a lovát, és a megmentésükre sietett. A varkocsa úgy lobogott a szélben, mint egy zászló, tisztán mutatva az embereinek, hogy melyik irányba támadjanak.
say.nr305_1_highest_peak.66;"Hej-hó! Uzsgyi bele a csetepatéba, legények!"\n\n
say.nr305_1_highest_peak.7;Meve tudta jól, hogy az ilyen ôsi viták könnyen vérontásba torkollhatnak, ezért úgy döntött, a segítségükre lesz. A két klán képviselôi egy különös, magasságmérésre szolgáló szerkezetet adtak át neki. Innentôl nem volt más hátra, mint hogy a királynô feltûrje a kabátja ujját, és megmérje a csúcsokat.
say.nr305_1_highest_peak.757;"Ez alávaló és nemtelen!"
say.nr305_1_highest_peak.758;– rikoltotta tiltakozva Eyck. –
say.nr305_1_highest_peak.759;"Egy lovag soha nem mocskolná be a becsületét efféle hazugsággal!"
say.nr305_1_highest_peak.82;Meve legutóbbi ittjárta óta a Hoogok és Dahlbergek közötti vita még jobban elmérgesedett. A torzsalkodó klánok újfent segítséget kértek a vita rendezéséhez.
say.nr305_1_highest_peak.9;"A belém vetett bizalmatokért hálás vagyok Nektek"
title.nr305_1_highest_peak.1;Iker-csúcsok
title.nr305_1_highest_peak.2;Iker-csúcsok
title.nr305_1_highest_peak.3;Iker-csúcsok
title.nr305_1_highest_peak.410;Iker-csúcsok
title.nr305_1_highest_peak.421;Iker-csúcsok

